,ALogP98,CNS,Drug,HBA,HBD,MW,SMILES,TPSA,TPSA_S,cLogD_ACD_v15,cLogP_ACD_v15,cLogP_Biobyte,fsp3,mapKa,mbpKa,nArom,nAtoms
15,2.1860001,False,Ambenonium,2.0,2.0,537.5647,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc2ccccc2Cl,58.200001,58.200001,-2.8499999,-2.8499999,0.18000001,0.5,,,2.0,36.0
16,3.6589999,False,Ambrisentan,6.0,1.0,378.42108,Cc1cc(nc(n1)OC(C(=O)O)C(c2ccccc2)(c3ccccc3)OC)C,81.540001,81.540001,2.51,6.2399998,3.75,0.23,0.97000003,2.8399999,3.0,28.0
17,-0.74800003,False,Amiloride,8.0,4.0,229.62701,c1(c(nc(c(n1)Cl)N)N)C(=O)N=C(N)N,159.28999,159.28999,2.9000001,2.9000001,-2.22,0.0,,2.29,1.0,15.0
18,0.315,False,Aminocaproic acid,3.0,2.0,131.17291,C(CCC(=O)O)CCN,63.310001,63.310001,-2.6099999,-0.11,-2.23,0.82999998,4.6799998,10.63,0.0,9.0
19,0.47099999,False,Aminosalicylic acid,4.0,3.0,153.13538,c1cc(c(cc1N)O)C(=O)O,83.550003,83.550003,-2.0,1.14,1.0599999,0.0,3.5799999,2.21,1.0,11.0
20,-0.059999999,False,Amoxicillin,7.0,4.0,365.40417,CC1(C(N2C(S1)C(C2=O)NC(=O)C(c3ccc(cc3)O)N)C(=O)O)C,132.96001,158.25999,-2.5799999,0.61000001,-1.87,0.44,2.4400001,6.6700001,1.0,25.0
21,2.4289999,False,Amprenavir,7.0,3.0,505.62689,CC(C)CN(CC(C(Cc1ccccc1)NC(=O)OC2CCOC2)O)S(=O)(=O)c3ccc(cc3)N,131.19,139.57001,4.1999998,4.1999998,3.29,0.47999999,,,2.0,35.0
22,1.965,False,Anagrelide,4.0,1.0,256.08807,c1cc(c(c2c1NC3=NC(=O)CN3C2)Cl)Cl,44.700001,44.700001,1.96,1.96,1.8,0.2,,2.0799999,1.0,16.0
23,2.9649999,False,Anastrozole,4.0,0.0,293.36624,CC(C)(C#N)c1cc(cc(c1)C(C)(C)C#N)Cn2cncn2,78.290001,78.290001,0.97000003,0.97000003,1.48,0.41,,2.6199999,2.0,22.0
24,2.803,False,Anisindione,3.0,0.0,252.26468,COc1ccc(cc1)C2C(=O)c3ccccc3C2=O,43.369999,43.369999,3.1900001,3.21,2.73,0.12,,,2.0,19.0
25,2.2490001,False,Anisotropine,2.0,0.0,282.44147,CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C,26.299999,26.299999,0.43000001,0.43000001,-0.81999999,0.94,,,0.0,20.0
26,2.865,False,Apixaban,5.0,1.0,459.4971,COc1ccc(cc1)n2c3c(c(n2)C(=O)N)CCN(C3=O)c4ccc(cc4)N5CCCCC5=O,110.76,110.76,0.47999999,0.47999999,1.89,0.28,,,3.0,34.0
27,1.227,False,Aspirin,4.0,1.0,180.15742,CC(=O)Oc1ccccc1C(=O)O,63.599998,63.599998,-1.89,1.1900001,1.02,0.11,3.48,,1.0,13.0
28,5.6890001,False,Astemizole,4.0,1.0,458.57034,COc1ccc(cc1)CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(cc5)F,42.32,42.32,4.4099998,5.8000002,5.8400002,0.31999999,,8.7700005,4.0,34.0
29,5.0780001,False,Atazanavir,9.0,5.0,704.85547,CC(C)(C)C(C(=O)NC(Cc1ccccc1)C(CN(Cc2ccc(cc2)c3ccccn3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC,171.21001,171.21001,5.1999998,5.1999998,5.9200001,0.44999999,,4.6500001,3.0,51.0
30,0.66900003,False,Atenolol,4.0,3.0,266.33609,CC(C)NCC(COc1ccc(cc1)CC(=O)N)O,84.580002,84.580002,-1.99,0.1,-0.11,0.5,,9.4499998,1.0,19.0
31,5.5560002,False,Atorvastatin,5.0,4.0,558.63977,CC(C)c1c(c(c(n1CCC(CC(CC(=O)O)O)O)c2ccc(cc2)F)c3ccccc3)C(=O)Nc4ccccc4,111.79,111.79,1.03,4.1300001,4.46,0.27000001,4.29,,4.0,41.0
32,5.3189998,False,Atovaquone,3.0,1.0,366.83746,c1ccc2c(c1)C(=O)C(=C(C2=O)O)C3CCC(CC3)c4ccc(cc4)Cl,54.369999,54.369999,3.8199999,6.1700001,6.3499999,0.27000001,4.9899998,,2.0,26.0
33,2.165,False,Avanafil,9.0,3.0,483.95065,COc1ccc(cc1Cl)CNc2c(cnc(n2)N3CCCC3CO)C(=O)NCc4ncccn4,125.39,125.39,3.5,3.52,2.9100001,0.34999999,,6.73,3.0,34.0
34,0.93400002,False,Azathioprine,7.0,1.0,277.26257,Cn1cnc(c1Sc2c3c(nc[nH]3)ncn2)[N+](=O)[O-],118.1,143.39,0.63,0.67000002,0.50999999,0.11,7.73,,3.0,19.0
35,5.27,False,Azilsartan,11.0,1.0,568.53357,CCOc1nc2cccc(c2n1Cc3ccc(cc3)c4ccccc4c5[nH]oc(=O)n5)C(=O)OCc6c(oc(=O)o6)C,139.57001,139.57001,5.7199998,5.73,4.6100001,0.17,,5.25,4.0,42.0
36,2.0780001,False,Azithromycin,14.0,5.0,748.9845,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,180.08,180.08,1.4,3.3299999,2.6400001,0.97000003,,8.5900002,0.0,52.0
37,2.5250001,False,Balsalazide,8.0,4.0,357.3175,c1cc(ccc1C(=O)NCCC(=O)O)/N=N/c2ccc(c(c2)C(=O)O)O,148.64,148.64,-2.04,2.7,3.21,0.12,2.97,,2.0,26.0
38,6.9330001,False,Bedaquiline,4.0,1.0,555.50476,CN(C)CCC(c1cccc2c1cccc2)(C(c3ccccc3)c4cc5cc(ccc5nc4OC)Br)O,45.59,45.59,6.0500002,7.5900002,7.25,0.22,,9.3100004,5.0,37.0
39,3.326,False,Benazepril,6.0,2.0,424.4895,CCOC(=O)C(CCc1ccccc1)NC2CCc3ccccc3N(C2=O)CC(=O)O,95.940002,95.940002,0.31999999,3.8599999,1.8200001,0.38,3.73,4.5500002,2.0,31.0
40,1.8609999,False,Bendroflumethiazide,5.0,3.0,421.41455,c1ccc(cc1)CC2Nc3cc(c(cc3S(=O)(=O)N2)S(=O)(=O)N)C(F)(F)F,118.36,135.12,2.04,2.0699999,1.73,0.2,,,2.0,27.0
41,3.102,False,Bentiromide,5.0,4.0,404.41531,c1ccc(cc1)C(=O)NC(Cc2ccc(cc2)O)C(=O)Nc3ccc(cc3)C(=O)O,115.73,115.73,0.60000002,3.46,2.96,0.090000004,4.27,,3.0,30.0
42,1.7079999,False,Betamethasone,5.0,3.0,392.46106,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,94.830002,94.830002,1.87,1.87,1.78,0.73000002,,,0.0,28.0
43,2.5769999,False,Betaxolol,4.0,2.0,307.42776,CC(C)NCC(COc1ccc(cc1)CCOCC2CC2)O,50.720001,50.720001,0.58999997,2.6900001,2.3199999,0.67000002,,9.4499998,1.0,22.0
44,-1.028,False,Bethanechol,2.0,1.0,161.22208,CC(C[N+](C)(C)C)OC(=O)N,52.32,52.32,-3.95,-3.95,-4.0100002,0.86000001,,,0.0,11.0
45,2.9260001,False,Bicalutamide,5.0,2.0,430.37338,CC(CS(=O)(=O)c1ccc(cc1)F)(C(=O)Nc2ccc(c(c2)C(F)(F)F)C#N)O,107.26,115.63,4.9400001,4.9400001,2.71,0.22,,,2.0,29.0
46,2.0309999,False,Bisoprolol,5.0,2.0,325.44305,CC(C)NCC(COc1ccc(cc1)COCCOC(C)C)O,59.950001,59.950001,0.050000001,2.1400001,1.83,0.67000002,,9.4399996,1.0,23.0
47,1.623,False,Boceprevir,5.0,4.0,519.6767,CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)NC(CC3CCC3)C(=O)C(=O)N)C,150.7,150.7,2.05,2.05,3.3399999,0.81,,,0.0,37.0
48,3.948,False,Bosentan,10.0,2.0,551.61407,CC(C)(C)c1ccc(cc1)S(=O)(=O)Nc2c(c(nc(n2)c3ncccn3)OCCO)Oc4ccccc4OC,145.64999,154.02,-0.85000002,1.15,4.1700001,0.25999999,4.6399999,,4.0,39.0
49,4.8829999,False,Bosutinib,8.0,1.0,530.44617,CN1CCN(CC1)CCCOc2cc3c(cc2OC)c(c(cn3)C#N)Nc4cc(c(cc4Cl)Cl)OC,82.879997,82.879997,4.9299998,5.48,5.0900002,0.38,,8.3199997,3.0,36.0
50,2.198,False,Budesonide,6.0,2.0,430.53384,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,93.059998,93.059998,3.1400001,3.1400001,2.9000001,0.75999999,,,0.0,31.0
51,3.2190001,False,Bufuralol,2.0,2.0,261.35931,CCc1cccc2c1oc(c2)C(CNC(C)(C)C)O,45.400002,45.400002,1.3,3.3800001,3.4000001,0.5,,9.71,2.0,19.0
52,-0.289,False,Busulfan,6.0,0.0,246.30176,CS(=O)(=O)OCCCCOS(=O)(=O)C,86.739998,103.5,-0.51999998,-0.51999998,-0.58999997,1.0,,,0.0,14.0
53,4.342,False,Cabozantinib,6.0,2.0,501.50565,COc1cc2c(ccnc2cc1OC)Oc3ccc(cc3)NC(=O)C4(CC4)C(=O)Nc5ccc(cc5)F,98.779999,98.779999,4.8200002,4.8400002,4.9400001,0.18000001,,6.1999998,4.0,37.0
54,3.3559999,False,Canagliflozin,5.0,4.0,444.51569,Cc1ccc(cc1Cc2ccc(s2)c3ccc(cc3)F)C4C(C(C(C(O4)CO)O)O)O,90.150002,118.39,5.3400002,5.3400002,4.5500002,0.33000001,,,3.0,31.0
55,0.81999999,False,Capecitabine,7.0,3.0,359.35007,CCCCCOC(=O)Nc1c(cn(c(=O)n1)C2C(C(C(O2)C)O)O)F,120.69,120.69,-0.67000002,0.97000003,0.83999997,0.67000002,5.4099998,,0.0,25.0
56,0.73000002,False,Carbenicillin,7.0,3.0,378.39963,CC1(C(N2C(S1)C(C2=O)NC(=O)C(c3ccccc3)C(=O)O)C(=O)O)C,124.01,149.31,-3.74,1.01,1.64,0.41,2.4400001,,1.0,26.0
57,0.75199997,False,Carbidopa,6.0,5.0,226.22916,CC(Cc1ccc(c(c1)O)O)(C(=O)O)NN,115.81,115.81,-2.75,-0.19,-0.44999999,0.30000001,3.4000001,7.7600002,1.0,16.0
58,-1.169,False,Carglumic acid,5.0,4.0,190.15399,C(CC(=O)O)C(C(=O)O)NC(=O)N,129.72,129.72,-6.7399998,-2.0,-1.9400001,0.5,3.71,,0.0,13.0
59,4.1139998,False,Carprofen,2.0,2.0,273.71426,CC(c1ccc2c3cc(ccc3[nH]c2c1)Cl)C(=O)O,53.09,53.09,1.55,4.04,3.98,0.13,4.8400002,,3.0,19.0
60,1.2819999,False,Carteolol,4.0,3.0,292.37335,CC(C)(C)NCC(COc1cccc2c1CCC(=O)N2)O,70.589996,70.589996,-0.73000002,1.35,1.29,0.56,,9.7399998,1.0,21.0
61,0.146,False,Cefaclor,6.0,3.0,367.80737,c1ccc(cc1)C(C(=O)NC2C3N(C2=O)C(=C(CS3)Cl)C(=O)O)N,112.73,138.03,-3.05,0.1,-1.64,0.27000001,1.95,6.52,1.0,24.0
62,0.041000001,False,Cefdinir,9.0,4.0,395.41351,C=CC1=C(N2C(C(C2=O)NC(=O)/C(=N\O)/c3csc(n3)N)SC1)C(=O)O,158.2,211.75,-4.3600001,-0.62,-0.47999999,0.20999999,2.8199999,,1.0,26.0
63,1.062,False,Cefditoren,10.0,3.0,506.5784,Cc1c(scn1)/C=C\C2=C(N3C(C(C3=O)NC(=O)/C(=N\OC)/c4csc(n4)N)SC2)C(=O)O,160.10001,241.88,-2.29,1.48,1.47,0.25999999,2.4300001,3.22,2.0,33.0
64,-0.5,False,Cefpodoxime,10.0,3.0,427.45538,COCC1=C(N2C(C(C2=O)NC(=O)/C(=N\OC)/c3csc(n3)N)SC1)C(=O)O,156.44,209.98,-2.8099999,0.94,-0.41,0.40000001,2.77,,1.0,28.0
65,-0.21699999,False,Cefuroxime,9.0,3.0,424.38522,CO/N=C(\c1ccco1)/C(=O)NC2C3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O,173.75999,199.06,-3.27,0.47,0.23,0.31,2.5899999,,1.0,29.0
66,4.428,False,Celecoxib,3.0,1.0,381.37216,Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F,77.980003,86.360001,4.21,4.21,4.3699999,0.12,,,3.0,26.0
67,6.4790001,False,Ceritinib,8.0,3.0,558.13513,Cc1cc(c(cc1C2CCNCC2)OC(C)C)Nc3ncc(c(n3)Nc4ccccc4S(=O)(=O)C(C)C)Cl,105.23,113.61,2.4100001,5.0300002,6.71,0.43000001,,10.16,3.0,38.0
68,4.204,False,Cerivastatin,6.0,3.0,459.55026,CC(C)c1c(c(c(c(n1)C(C)C)/C=C/C(CC(CC(=O)O)O)O)c2ccc(cc2)F)COC,99.879997,99.879997,0.60000002,3.71,3.5599999,0.46000001,4.2399998,5.6100001,2.0,33.0
69,3.4879999,False,Cetirizine,5.0,1.0,388.88779,c1ccc(cc1)C(c2ccc(cc2)Cl)N3CCN(CC3)CCOCC(=O)O,53.009998,53.009998,-0.89999998,2.1700001,2.0799999,0.38,3.46,7.9499998,2.0,27.0
70,4.0139999,False,Chenodiol,4.0,3.0,392.57199,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C,77.760002,77.760002,2.05,4.6599998,4.5100002,0.95999998,4.7600002,,0.0,28.0
71,3.8989999,False,Chlorambucil,3.0,1.0,304.21216,c1cc(ccc1CCCC(=O)O)N(CCCl)CCCl,40.540001,40.540001,0.55000001,3.0999999,3.6300001,0.5,4.8200002,4.6199999,1.0,19.0
72,4.3449998,False,Chloroquine,3.0,1.0,319.87213,CCN(CC)CCCC(C)Nc1ccnc2c1ccc(c2)Cl,28.16,28.16,1.87,4.6900001,5.0599999,0.5,,10.47,2.0,22.0
73,5.6139998,False,Chlorotrianisene,3.0,0.0,380.86404,COc1ccc(cc1)C(=C(c2ccc(cc2)OC)Cl)c3ccc(cc3)OC,27.690001,27.690001,6.9899998,6.9899998,5.8299999,0.13,,,3.0,27.0
74,1.597,False,Chlorphenesin carbamate,4.0,2.0,245.65958,c1cc(ccc1OCC(COC(=O)N)O)Cl,81.779999,81.779999,1.41,1.41,1.26,0.30000001,,,1.0,16.0
75,2.0580001,False,Chlorpropamide,3.0,2.0,276.73981,CCCNC(=O)NS(=O)(=O)c1ccc(cc1)Cl,75.269997,83.650002,0.33000001,2.3,2.3499999,0.30000001,4.6399999,,1.0,17.0
76,1.383,False,Chlorthalidone,4.0,3.0,338.76614,c1ccc2c(c1)C(=O)NC2(c3ccc(c(c3)S(=O)(=O)N)Cl)O,109.49,117.87,-0.74000001,-0.74000001,0.44999999,0.07,,,2.0,22.0
77,0.107,False,Cimetidine,6.0,3.0,252.33923,Cc1c(nc[nH]1)CSCCN/C(=N/C)/NC#N,88.889999,114.19,-0.25,0.07,0.19,0.5,,7.1300001,1.0,17.0
78,1.448,False,Cinoxacin,7.0,1.0,262.2182,CCn1c2cc3c(cc2c(=O)c(n1)C(=O)O)OCO3,88.43,88.43,-3.3900001,0.34999999,1.74,0.25,,4.3299999,1.0,19.0
79,1.4349999,False,Ciprofloxacin,6.0,2.0,331.34152,c1c2c(cc(c1F)N3CCNCC3)n(cc(c2=O)C(=O)O)C4CC4,72.879997,72.879997,-1.28,0.64999998,-0.22,0.41,6.27,8.6800003,1.0,24.0
80,2.7850001,False,Cisapride,6.0,2.0,465.94547,COc1cc(c(cc1C(=O)NC2CCN(CC2OC)CCCOc3ccc(cc3)F)Cl)N,86.050003,86.050003,2.75,3.1199999,3.8099999,0.43000001,,8.6499996,2.0,32.0
81,-1.235,False,Clavulanate,5.0,2.0,199.16077,C1C2N(C1=O)C(/C(=C/CO)/O2)C(=O)O,87.07,87.07,-5.3899999,-1.98,-1.0599999,0.5,3.6400001,,0.0,14.0
82,1.277,False,Clindamycin,7.0,4.0,424.98303,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl,102.26,127.56,0.77999997,1.83,2.5699999,0.94,,8.7399998,0.0,27.0
83,7.1370001,False,Clofazimine,4.0,1.0,473.39639,CC(C)/N=c/1\cc-2n(c3ccccc3nc2cc1Nc4ccc(cc4)Cl)c5ccc(cc5)Cl,39.990002,39.990002,5.5999999,7.2600002,7.6999998,0.11,,8.6400003,3.0,33.0
84,3.329,False,Clofibrate,3.0,0.0,242.6987,CCOC(=O)C(C)(C)Oc1ccc(cc1)Cl,35.529999,35.529999,3.3199999,3.3199999,3.6800001,0.41999999,,,1.0,16.0
85,6.4829998,False,Clomiphene,2.0,0.0,405.95963,CCN(CC)CCOc1ccc(cc1)/C(=C(\c2ccccc2)/Cl)/c3ccccc3,12.47,12.47,5.8699999,8.0100002,7.1500001,0.23,,9.6000004,3.0,29.0
86,2.3540001,False,Clonidine,3.0,2.0,230.09386,c1cc(c(c(c1)Cl)NC2=NCCN2)Cl,36.419998,36.419998,0.64999998,1.41,1.73,0.22,,8.1000004,1.0,14.0
87,2.3,False,Cloxacillin,6.0,2.0,435.88132,Cc1c(c(no1)c2ccccc2Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,112.74,138.03999,-1.2,2.53,2.52,0.37,2.4400001,,2.0,29.0
88,5.0250001,False,Cobicistat,8.0,3.0,776.02271,CC(C)c1nc(cs1)CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(Cc3ccccc3)NC(=O)OCc4cncs4)Cc5ccccc5,138.02,194.5,4.5900002,4.77,3.98,0.47,,7.4000001,4.0,54.0
89,2.0439999,False,Colchicine,6.0,1.0,399.43698,CC(=O)NC1CCc2cc(c(c(c2-c3c1cc(=O)c(cc3)OC)OC)OC)OC,83.089996,83.089996,0.92000002,0.92000002,1.2,0.36000001,,,1.0,29.0
90,3.694,False,Crizotinib,5.0,2.0,450.33667,CC(c1c(ccc(c1Cl)F)Cl)Oc2cc(cnc2N)c3cnn(c3)C4CCNCC4,77.980003,77.980003,2.25,4.73,4.29,0.33000001,,9.8100004,3.0,30.0
91,1.77,False,Cromolyn,11.0,3.0,468.36652,c1cc2c(c(c1)OCC(COc3cccc4c3c(=O)cc(o4)C(=O)O)O)c(=O)cc(o2)C(=O)O,165.89,165.89,-2.45,2.3,1.48,0.13,1.9400001,,2.0,34.0
92,0.391,False,Cyclacillin,6.0,3.0,341.42581,CC1(C(N2C(S1)C(C2=O)NC(=O)C3(CCCCC3)N)C(=O)O)C,112.73,138.03,-2.23,1.01,-0.81999999,0.80000001,2.45,7.3600001,0.0,23.0
93,0.33000001,False,Cyclophosphamide,2.0,1.0,261.08597,C1CNP(=O)(OC1)N(CCCl)CCCl,51.380001,51.380001,0.23,0.23,0.80000001,1.0,,2.8399999,0.0,14.0
94,-0.21600001,False,Cysteamine,2.0,2.0,77.148682,C(CS)N,26.02,64.809998,-1.49,0.029999999,-0.25,1.0,,10.34,0.0,4.0
95,5.4229999,False,Dabrafenib,6.0,2.0,519.56238,CC(C)(C)c1nc(c(s1)c2ccnc(n2)N)c3cccc(c3F)NS(=O)(=O)c4c(cccc4F)F,110.85,147.47,2.6400001,3.54,4.6100001,0.17,6.4499998,,4.0,35.0
96,1.984,False,Dantrolene,5.0,1.0,314.25299,c1cc(ccc1c2ccc(o2)/C=N/N3CC(=O)NC3=O)[N+](=O)[O-],120.72,120.72,1.24,1.4299999,1.63,0.07,7.6900001,,2.0,23.0
97,2.4089999,False,Dapagliflozin,6.0,4.0,408.87259,CCOc1ccc(cc1)Cc2cc(ccc2Cl)C3C(C(C(C(O3)CO)O)O)O,99.379997,99.379997,4.4200001,4.4200001,3.3699999,0.43000001,,,2.0,28.0
98,4.5580001,False,Darifenacin,3.0,1.0,426.54999,c1ccc(cc1)C(c2ccccc2)(C3CCN(C3)CCc4ccc5c(c4)CCO5)C(=O)N,55.560001,55.560001,2.6600001,4.5,3.6199999,0.31999999,,9.3199997,3.0,32.0
99,2.971,False,Deferasirox,7.0,3.0,373.36151,c1cc(ccc1C(=O)O)N2/C(=C/3\C=CC=CC3=O)/N/C(=C/4\C=CC=CC4=O)/N2,98.739998,98.739998,-1.92,0.46000001,2.54,0.0,,5.1199999,1.0,28.0
100,2.2920001,False,Delavirdine,6.0,3.0,456.5611,CC(C)Nc1cccnc1N2CCN(CC2)C(=O)c3cc4cc(ccc4[nH]3)NS(=O)(=O)C,110.43,118.8,-2.29,-1.21,2.9200001,0.36000001,,9.1700001,3.0,32.0
101,-0.435,False,Demeclocycline,9.0,6.0,464.85303,CN(C)C1C2CC3C(c4c(ccc(c4C(=O)C3=C(C2(C(=O)C(=C1O)C(=O)N)O)O)O)Cl)O,181.61,181.61,-4.0,-1.0700001,-0.57999998,0.38,4.5,11.0,1.0,32.0
102,5.8280001,False,Desogestrel,1.0,1.0,310.47299,CCC12CC(=C)C3C(C1CCC2(C#C)O)CCC4=CCCCC34,20.23,20.23,6.5900002,6.5900002,5.6799998,0.73000002,,,0.0,23.0
103,3.4419999,False,Dexlansoprazole,4.0,1.0,369.36145,Cc1c(ccnc1CS(=O)c2[nH]c3ccccc3n2)OCC(F)(F)F,67.870003,87.080002,2.76,2.76,2.5999999,0.25,,3.6400001,3.0,25.0
104,1.196,False,Diazoxide,4.0,1.0,230.67139,CC1=NS(=O)(=O)c2cc(ccc2N1)Cl,58.529999,66.910004,1.05,1.0700001,1.42,0.12,,,1.0,14.0
105,0.56900001,False,Dichlorphenamide,4.0,2.0,305.15884,c1c(cc(c(c1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N,120.31,137.08,0.91000003,0.93000001,0.23999999,0.0,,,1.0,16.0
106,4.3730001,False,Diclofenac,3.0,2.0,296.14865,c1ccc(c(c1)CC(=O)O)Nc2c(cccc2Cl)Cl,49.330002,49.330002,0.94999999,4.0599999,4.73,0.07,4.1799998,,2.0,19.0
107,2.789,False,Dicumarol,6.0,2.0,336.29498,c1ccc2c(c1)c(c(c(=O)o2)Cc3c(c4ccccc4oc3=O)O)O,93.059998,93.059998,0.5,3.55,3.6600001,0.050000001,4.1999998,,2.0,25.0
108,-0.84399998,False,Didanosine,6.0,2.0,236.22728,c1[nH]c2c(c(=O)n1)ncn2C3CCC(O3)CO,88.739998,88.739998,-1.33,-1.33,-1.65,0.5,,3.4400001,1.0,17.0
109,0.43599999,False,Diethylcarbamazine,2.0,0.0,199.29324,CCN(CC)C(=O)N1CCN(CC1)C,26.790001,26.790001,0.98000002,1.14,1.62,0.89999998,,6.9899998,0.0,14.0
110,3.1470001,False,Diflunisal,3.0,2.0,250.19762,c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,57.529999,57.529999,1.29,4.4400001,4.4000001,0.0,2.9400001,,2.0,18.0
111,0.49000001,False,Dimethyl fumarate,4.0,0.0,144.12531,COC(=O)/C=C/C(=O)OC,52.599998,52.599998,0.62,0.62,0.77999997,0.33000001,,,0.0,10.0
112,2.8510001,False,Diphemanil,0.0,0.0,278.41125,C[N+]1(CCC(=C(c2ccccc2)c3ccccc3)CC1)C,0.0,0.0,2.2,2.2,0.13,0.30000001,,,2.0,21.0
113,2.483,False,Dipyridamole,12.0,4.0,504.62558,C1CCN(CC1)c2c3c(c(nc(n3)N(CCO)CCO)N4CCCCC4)nc(n2)N(CCO)CCO,145.44,145.44,-1.25,-1.22,2.9300001,0.75,,8.7799997,2.0,36.0
